Serial No,Name,Description,Stars,Forks,Last Commit,Repository URL
84,gpufilter,GPU Recursive Filtering,41,17,2023-09-01T13:16:30Z,https://github.com/andmax/gpufilter
85,cupoisson,CUDA implementation of the 2D fast Poisson solver,11,8,2022-02-23T09:59:50Z,https://github.com/3cHeLoN/cupoisson
86,nvParse,"Fast, gpu-based CSV parser",553,29,2017-01-23T06:22:10Z,https://github.com/antonmks/nvParse
87,cuda-convnet-for-hashing,started from Alex's code on google code,37,13,2015-04-28T07:49:03Z,https://github.com/zhaofang0627/cuda-convnet-for-hashing
88,GPU-Sweep-Prune-Collision-Detection,"Real-time Collision Culling of a Million Bodies on  Graphics Processing Units. SIGGRAPH ASIA, Dec. 2010",14,4,2015-03-26T16:20:49Z,https://github.com/liufububai/GPU-Sweep-Prune-Collision-Detection
89,FLAMEGPU2,FLAME GPU 2 is a GPU accelerated agent based modelling framework for CUDA C++ and Python,82,15,2023-12-16T12:10:30Z,https://github.com/FLAMEGPU/FLAMEGPU2
90,webgpu,"webgpu GPU code implementation, including CUDA, OpenCL, OpenACC and C++ AMP",14,6,2015-04-07T04:57:59Z,https://github.com/XimingCheng/webgpu
91,cuda-convnet2,Automatically exported from code.google.com/p/cuda-convnet2,745,288,2015-12-03T03:46:14Z,https://github.com/akrizhevsky/cuda-convnet2
92,cudnn-training,A CUDNN minimal deep learning training code sample using LeNet.,251,92,2023-07-30T01:48:16Z,https://github.com/tbennun/cudnn-training
93,cuda_bitcoin_miner,CUDA Based GPU Bitcoin Miner,32,7,2015-05-08T01:51:55Z,https://github.com/geedo0/cuda_bitcoin_miner
94,GeneticAlgorithmTSP_CUDA,A genetic algorithm to find optimal solutions for TSP (Travelling Salesman Problem) using the CUDA Architecture (GPU),16,8,2015-08-21T20:40:16Z,https://github.com/tdietert/GeneticAlgorithmTSP_CUDA
95,parallel,MPI programs shared here !,15,7,2015-05-05T00:15:57Z,https://github.com/antiDigest/parallel
96,smallpt-parallel-bvh-gpu,A GPU implementation of smallpt (http://www.kevinbeason.com/smallpt/) with Bounding Volume Hierarchy (BVH) tree. ,42,3,2015-05-12T00:01:12Z,https://github.com/andrewwuan/smallpt-parallel-bvh-gpu
97,cuda-collisions,GPU implementation of collision detection via spatial subdivision,26,8,2021-01-01T04:37:41Z,https://github.com/deeptoaster/cuda-collisions
98,CTBangBang,"Fast, lightweight, GPU-based, CT Image Reconstruction",23,26,2020-05-12T01:02:04Z,https://github.com/johnmarianhoffman/CTBangBang
99,popsift,PopSift is an implementation of the SIFT algorithm in CUDA.,395,106,2023-07-05T10:11:11Z,https://github.com/alicevision/popsift
100,CubicInterpolationCUDA,GPU accelerated pre-filtered cubic b-spline interpolation using CUDA,103,26,2017-02-27T15:52:51Z,https://github.com/DannyRuijters/CubicInterpolationCUDA
101,cuStreamComp,Efficient CUDA Stream Compaction Library,31,6,2023-06-09T00:14:46Z,https://github.com/knotman90/cuStreamComp
102,SNCC_GPU,compute disparity map from stereo pair using SNCC matching function (GPU and CPU code provided),12,9,2015-06-16T20:39:15Z,https://github.com/chloelle/SNCC_GPU
103,professional-cuda-c-programming,,318,136,2015-07-05T19:20:49Z,https://github.com/deeperlearning/professional-cuda-c-programming
104,GpuTriangleCounting,Triangle Counting for the GPU using CUDA.,12,3,2015-11-05T21:31:50Z,https://github.com/ogreen/GpuTriangleCounting
105,General-CUDA-programming,,41,12,2018-02-03T10:00:10Z,https://github.com/OrangeOwlSolutions/General-CUDA-programming
106,managed_allocator,A C++ allocator based on cudaMallocManaged,23,4,2018-11-19T16:14:11Z,https://github.com/jaredhoberock/managed_allocator
107,CUDA-dilation-and-erosion-filters,A CUDA implementation of the dilation and erosion filters showing several optimizations to speed up the processing.,42,8,2015-08-31T08:30:55Z,https://github.com/mompes/CUDA-dilation-and-erosion-filters
108,accelerInt,Library of tested and verified ODE solvers for chemical kinetics,20,7,2019-05-31T12:51:31Z,https://github.com/SLACKHA/accelerInt
109,AES-Cuda,Simple AES implementation in NVIDIA CUDA,19,4,2015-08-23T03:17:11Z,https://github.com/cartermc24/AES-Cuda
110,mc-cnn,Stereo Matching by Training a Convolutional Neural Network to Compare Image Patches,689,235,2018-01-25T21:47:39Z,https://github.com/jzbontar/mc-cnn
111,matrix-cuda,matrix multiplication in CUDA,102,64,2023-08-10T16:16:28Z,https://github.com/lzhengchun/matrix-cuda
112,flattened-cnn,Flattened convolutional neural networks (1D convolution modules for Torch nn),61,19,2015-09-17T17:08:01Z,https://github.com/jhjin/flattened-cnn
113,chmm,CUDA implementation of hidden Markov model training and classification,28,11,2017-12-10T00:41:57Z,https://github.com/chuan/chmm
114,LDPC-CC_Pipeline_Decoder,This is a CUDA application for LDPC-CC Decoder,13,8,2015-09-28T02:25:45Z,https://github.com/Haybla/LDPC-CC_Pipeline_Decoder
115,yalla,Spheroid models of morphogenesis for the GPU.,34,8,2023-11-03T16:43:04Z,https://github.com/germannp/yalla
116,hillisp,CUDA parallel lisp toy inspired by Connection Machines,11,2,2016-06-25T02:49:08Z,https://github.com/michelp/hillisp
117,OpenCUDA,,231,107,2018-01-14T14:24:53Z,https://github.com/LitLeo/OpenCUDA
118,Weighted_Softmax_Loss,Weighted Softmax Loss Layer for Caffe,89,47,2018-08-31T03:18:16Z,https://github.com/shicai/Weighted_Softmax_Loss
119,Matrix-Inversion-with-CUDA,I implemented a parallel algorithm for matrix inversion based on Gauss-Jordan elimination. ,42,21,2015-11-17T14:19:05Z,https://github.com/ZhengzhongSun/Matrix-Inversion-with-CUDA
120,gpuprec,gpuprec: Extended-Precision Libraries on GPUs,32,7,2016-01-09T07:55:45Z,https://github.com/lumianph/gpuprec
121,GPU-path-tracing-with-CUDA-tutorial-2,Basic CUDA path tracer with triangle mesh support,46,12,2020-02-28T11:02:03Z,https://github.com/straaljager/GPU-path-tracing-with-CUDA-tutorial-2
122,cuSIFT,A CUDA-enabled SIFT library,13,5,2016-04-02T16:07:50Z,https://github.com/danielsuo/cuSIFT
123,unsupervised-videos,Unsupervised Learning of Video Representations using LSTMs,351,113,2018-03-06T02:55:46Z,https://github.com/mansimov/unsupervised-videos
124,SLIC_CUDA,Superpixel SLIC for GPU (CUDA),64,19,2019-12-11T01:25:20Z,https://github.com/fderue/SLIC_CUDA
125,dijkstra-CUDA,"Dijkstra's Algorithm implemented in C/C++ using standard C, OpenMP and CUDA",11,9,2015-12-12T23:53:53Z,https://github.com/srrcboy/dijkstra-CUDA
126,warp-ctc,Fast parallel CTC.,4053,1051,2023-01-05T14:28:28Z,https://github.com/baidu-research/warp-ctc
127,cuHE,CUDA Homomorphic Encryption Library,174,38,2017-06-08T20:26:33Z,https://github.com/vernamlab/cuHE
128,arboretum,Gradient Boosting powered by GPU(NVIDIA CUDA),65,15,2020-04-07T09:50:42Z,https://github.com/sh1ng/arboretum
129,ctc,Numpy and Theano bindings for Baidu's warp-ctc,60,22,2017-06-18T22:42:22Z,https://github.com/sherjilozair/ctc
130,StructuredEikonal,CUDA implementation of FIM (Fast Iterative Method) for Eikonal equations on Structured Volumes,16,10,2019-02-22T18:36:02Z,https://github.com/SCIInstitute/StructuredEikonal
131,libcudavoting,A library for tensor voting on 3D point-clouds using GPU (NVIDIA). ,19,13,2016-02-16T13:33:33Z,https://github.com/CityU-MBE/libcudavoting
132,gpuvmem,GPU Framework for Radio Astronomical Image Synthesis,29,4,2023-12-21T19:59:58Z,https://github.com/miguelcarcamov/gpuvmem
133,CUDA-MCDNN,,13,3,2017-07-13T11:49:33Z,https://github.com/TanDongXu/CUDA-MCDNN
134,2016_super_resolution,ICCV2015 Image Super-Resolution Using Deep Convolutional Networks,86,43,2019-04-01T08:23:30Z,https://github.com/layumi/2016_super_resolution
135,KdTreeGPU,A gpu based implementation of a K-D Tree Builder,80,19,2019-10-04T18:07:41Z,https://github.com/johnarobinson77/KdTreeGPU
136,MTSS-Multivariate-Time-Series-Software,A GP-GPU/CPU Dynamic Time Warping (DTW) implementation for the analysis of Multivariate Time Series (MTS).,40,9,2020-01-17T09:30:58Z,https://github.com/DavideNardone/MTSS-Multivariate-Time-Series-Software
137,TiledMatrixMultiplicationInCUDA,TILED Matrix Multiplication in CUDA using Shared Memory. An efficient and fast way.,23,10,2018-11-16T09:09:58Z,https://github.com/yogesh-desai/TiledMatrixMultiplicationInCUDA
138,MemBootcamp,GPU Memory Bootcamp Series example code,11,1,2016-04-03T19:20:21Z,https://github.com/tscudiero/MemBootcamp
139,cudaLATCH,GPU implementation of LATCH descriptor & matcher. ,40,12,2016-09-12T14:19:55Z,https://github.com/csp256/cudaLATCH
140,theano-roi-pooling,Theano port of Ross Girshick's ROI Pooling Layer,28,9,2016-10-19T14:38:10Z,https://github.com/ddtm/theano-roi-pooling
141,cs344-cuda-udacity,"Windows Visual Studio Solutions for class ""Introduction to Parallel Programming""",20,9,2018-11-17T11:15:30Z,https://github.com/wykvictor/cs344-cuda-udacity
142,PySparseConvNet,Python Framework for sparse neural networks,19,5,2017-04-28T13:54:09Z,https://github.com/gangiman/PySparseConvNet
143,Batch_Normalized_Maxout_NIN,http://arxiv.org/abs/1511.02583,12,1,2017-11-05T15:10:53Z,https://github.com/JiaRenChang/Batch_Normalized_Maxout_NIN
144,asw,An open-source attempt at a GPU-accelerated Adaptive Support Weight stereo matching algorithm,11,6,2016-05-31T06:12:11Z,https://github.com/rdbeethe/asw
145,twostreamfusion,"Code release for ""Convolutional Two-Stream Network Fusion for Video Action Recognition"", CVPR 2016.",700,193,2016-09-27T08:45:53Z,https://github.com/feichtenhofer/twostreamfusion
146,cumf_als,CUDA Matrix Factorization Library with Alternating Least Square (ALS),169,48,2018-08-14T02:24:37Z,https://github.com/cuMF/cumf_als
147,SOFTX-D-15-00085,A GPU based discrete element method (DEM) framework. To cite this software publication: https://www.sciencedirect.com/science/article/pii/S235271101630005X,25,25,2015-12-01T13:40:47Z,https://github.com/ElsevierSoftwareX/SOFTX-D-15-00085
148,CUDA-MLlib,CUDA kernel and JNI code which is called by Apache Spark's MLlib.,17,9,2016-06-18T17:57:04Z,https://github.com/IBMSparkGPU/CUDA-MLlib
149,stn3d,3D Spatial Transformer Network,14,5,2017-04-23T03:10:34Z,https://github.com/shubhtuls/stn3d
150,tsdf-fusion,Fuse multiple depth frames into a TSDF voxel volume.,663,133,2019-05-07T17:43:55Z,https://github.com/andyzeng/tsdf-fusion
151,elixir-cuda-example,Example of controlling CUDA-using-CNode with Elixir.,28,5,2016-05-12T12:44:31Z,https://github.com/remiq/elixir-cuda-example
152,word2vec-acc-cuda,Acceleration of word2vec using GPU,13,4,2017-01-25T08:53:09Z,https://github.com/kinchi22/word2vec-acc-cuda
153,CUDA-Connected-Component-Labelling,Parallel GPU Implementation of Connected Component Labelling (CCL). Connected-component labeling is used in computer vision to detect connected regions in binary digital images,48,16,2018-02-11T06:41:48Z,https://github.com/ironhide23586/CUDA-Connected-Component-Labelling
154,UAMMD,"A CUDA project for Molecular Dynamics, Brownian Dynamics, Hydrodynamics... intended to simulate a very generic system constructing a simulation with modules.",43,10,2023-12-22T08:42:57Z,https://github.com/RaulPPelaez/UAMMD
155,EECS-368-Programming-Massively-Parallel-Processors-with-CUDA,,18,8,2016-05-17T03:50:58Z,https://github.com/dawn-chu/EECS-368-Programming-Massively-Parallel-Processors-with-CUDA
156,STOMPSelfJoin,GPU Implementation of the STOMP algorithm for computing the matrix profile,18,8,2018-09-27T19:17:10Z,https://github.com/zpzim/STOMPSelfJoin
157,algorithms-cuda,parallel algorithm based on cuda,55,41,2017-11-27T03:42:54Z,https://github.com/chaolongzhang/algorithms-cuda
158,GPU-MapReduce,A GPU-accelerated MapReduce Implementation,17,5,2016-06-09T08:39:56Z,https://github.com/gavyaggarwal/GPU-MapReduce
159,py-faster-rcnn-windows,py-faster-rcnn that can compile on windows directly,135,70,2016-07-11T10:50:07Z,https://github.com/MrGF/py-faster-rcnn-windows
160,cuda-blur,Implement image blur as a GPU kernel using CUDA,14,7,2016-06-29T01:29:39Z,https://github.com/yanji84/cuda-blur
161,Product-Quantization-Tree,"GPU-based large scale Approx. Nearest Neighbor Search, accepted at CVPR 2016",91,26,2018-11-03T08:47:15Z,https://github.com/cgtuebingen/Product-Quantization-Tree
162,DeepJointFilter,The source code of ECCV16 'Deep Joint Image Filtering'.,79,28,2018-12-16T07:26:07Z,https://github.com/Yijunmaverick/DeepJointFilter
163,merge-spmv,,82,28,2017-02-10T19:38:26Z,https://github.com/dumerrill/merge-spmv
164,lstm-cuda,This is a c++ implementation of an LSTM Neural Network parallelized for a GPU using CUDA,22,11,2017-10-29T13:50:12Z,https://github.com/brandontrabucco/lstm-cuda
165,SMFFT,fast Fourier transform on GPU in shared memory for AstroAccelerate project,19,6,2020-10-29T13:04:36Z,https://github.com/KAdamek/SMFFT
166,kblas-gpu,Subset of BLAS routines optimized for NVIDIA GPUs,57,10,2023-03-27T13:20:24Z,https://github.com/ecrc/kblas-gpu
167,cuMat,,22,11,2017-06-22T08:17:04Z,https://github.com/takezo5096/cuMat
168,easy_computed_tomography.github.io,Educational and easy-to-understand parallel-beam computed tomography simulator (implemented both in MATLAB and CUDA),22,4,2019-12-21T01:17:16Z,https://github.com/rehmanali1994/easy_computed_tomography.github.io
169,cuda_cuts,Based on CUDA Cuts Code,20,6,2018-06-05T08:16:44Z,https://github.com/jaimeyzzz/cuda_cuts
170,CUDASieve,A GPU accelerated implementation of the sieve of Eratosthenes,53,13,2022-12-18T17:56:10Z,https://github.com/curtisseizert/CUDASieve
171,Plane_Wave_Ultrasound_Stolt_F-K_Migration.github.io,"MATLAB, Python, and CUDA Implementations of Plane Wave Ultrasound Imaging with Stolt's f-k Migration (Original MATLAB code and plane wave data came from here: http://www.biomecardio.com/pageshtm/tools/toolsen.htm) [Reference: Garcia D et al. Stolt's f-k migration for plane wave ultrasound imaging. IEEE UFFC, 2013;60:1853-1867.]",31,24,2017-09-18T19:30:35Z,https://github.com/rehmanali1994/Plane_Wave_Ultrasound_Stolt_F-K_Migration.github.io
172,cuda-revised-simplex,"An implementation of the revised simplex algorithm in CUDA for solving linear optimization problems in the form max{c*x | A*x=b, l<=x<=u}",26,6,2016-12-09T08:31:32Z,https://github.com/SethosII/cuda-revised-simplex
173,PatchMatch,An implementation of patchmatch algorithm.,20,6,2016-11-04T06:14:14Z,https://github.com/rozentill/PatchMatch
174,FCIS,Fully Convolutional Instance-aware Semantic Segmentation,1568,422,2021-09-27T02:16:42Z,https://github.com/msracver/FCIS
175,Enterprise, Enterprise: Breadth-First Graph Traversal on GPUs. SC'15.,30,17,2017-05-20T12:26:01Z,https://github.com/iHeartGraph/Enterprise
176,SuRVoS,(Su)per (R)egion (Vo)lume (S)egmentaton workbench ,25,5,2023-07-06T21:18:52Z,https://github.com/DiamondLightSource/SuRVoS
177,iBFS,iBFS: Concurrent Breadth-First Search on GPUs. SIGMOD'16,23,12,2017-06-08T01:29:49Z,https://github.com/iHeartGraph/iBFS
178,cudawesome,"A collection of awesome algorithms, implemented in CUDA.",21,4,2018-02-06T18:19:09Z,https://github.com/gmarciani/cudawesome
179,StacklessRayTracer,Implemented stackless KDTree on GPU to accelerate ray tracing rendering algorithm. Hardware level optimizations for register spills local memory overhead are used. ,21,2,2016-10-06T04:36:05Z,https://github.com/jasonge27/StacklessRayTracer
180,stixels,GPU-accelerated real-time stixel computation,77,38,2021-07-10T15:21:35Z,https://github.com/dhernandez0/stixels
181,zmine,A GPU miner for the Zcash cryptocurrency.,15,11,2016-10-20T12:25:14Z,https://github.com/TACIXAT/zmine
182,HungarianGPU,An GPU/CUDA implementation of the Hungarian algorithm,96,17,2019-04-12T16:34:15Z,https://github.com/paclopes/HungarianGPU
