Serial No,Name,Description,Stars,Forks,Last Commit,Repository URL
84,Pedestrian_Alignment,TCSVT2018 Pedestrian Alignment Network for Large-scale Person Re-identification,235,67,2021-07-21T03:21:16Z,https://github.com/layumi/Pedestrian_Alignment
85,OpenCUDA,,229,106,2018-01-14T14:24:53Z,https://github.com/LitLeo/OpenCUDA
86,pytorch-cppcuda-tutorial,"tutorial for writing custom pytorch cpp+cuda kernel, applied on volume rendering (NeRF)",227,15,2023-04-17T04:48:54Z,https://github.com/kwea123/pytorch-cppcuda-tutorial
87,GrabGPU,Grab GPU whenever available,225,26,2021-12-29T10:41:13Z,https://github.com/godweiyang/GrabGPU
88,deepspeech,DeepSpeech neon implementation,222,69,2023-01-03T22:54:04Z,https://github.com/NervanaSystems/deepspeech
89,KNN_CUDA,pytorch knn [cuda version],220,36,2021-12-14T04:04:48Z,https://github.com/unlimblue/KNN_CUDA
90,HRNet-Human-Pose-Estimation,This repo is copied from https://github.com/leoxiaobin/deep-high-resolution-net.pytorch,216,66,2021-10-12T22:58:49Z,https://github.com/HRNet/HRNet-Human-Pose-Estimation
91,mlp_maps,"Code for ""Representing Volumetric Videos as Dynamic MLP Maps"" CVPR 2023",213,9,2023-09-27T06:09:58Z,https://github.com/zju3dv/mlp_maps
92,cunn,,213,177,2019-08-27T00:44:54Z,https://github.com/torch/cunn
93,deformable-kernels,Deforming kernels to adapt towards object deformation. In ICLR 2020.,201,29,2020-02-12T18:57:37Z,https://github.com/hangg7/deformable-kernels
94,CUDA_gemm,A simple high performance CUDA GEMM implementation.,197,23,2023-09-18T05:39:57Z,https://github.com/Cjkkkk/CUDA_gemm
95,CPP-Fluid-Particles,"my own implementation of the WCSPH, DFSPH and PBD fluid solvers using CUDA and C++",192,34,2019-07-11T02:33:53Z,https://github.com/zhai-xiao/CPP-Fluid-Particles
96,YHs_Sample,Yinghan's Code Sample,189,33,2022-07-25T20:04:52Z,https://github.com/Yinghan-Li/YHs_Sample
97,FBTT-Embedding,"This is a Tensor Train based compression library to compress sparse embedding tables used in large-scale machine learning models such as recommendation and natural language processing. We showed this library can reduce the total model size by up to 100x in Facebook’s open sourced DLRM model while achieving same model quality. Our implementation is faster than the state-of-the-art implementations. Existing the state-of-the-art library also decompresses the whole embedding tables on the fly therefore they do not provide memory reduction during runtime of the training. Our library decompresses only the requested rows therefore can provide 10,000 times memory footprint reduction per embedding table. The library also includes a software cache to store a portion of the entries in the table in decompressed format for faster lookup and process.",186,28,2022-07-20T21:30:26Z,https://github.com/facebookresearch/FBTT-Embedding
98,claymore,,185,30,2023-05-22T14:50:08Z,https://github.com/penn-graphics-research/claymore
99,TorchPQ,Approximate nearest neighbor search with product quantization on GPU in pytorch and cuda,184,18,2023-08-13T10:28:23Z,https://github.com/DeMoriarty/TorchPQ
100,flash-cosine-sim-attention,Implementation of fused cosine similarity attention in the same style as Flash Attention,184,8,2023-02-13T18:26:24Z,https://github.com/lucidrains/flash-cosine-sim-attention
101,CUDA-CNN,CNN accelerated by cuda. Test on mnist and finilly get 99.76%,180,89,2017-10-15T12:56:13Z,https://github.com/zhxfl/CUDA-CNN
102,Optimizing-SGEMM-on-NVIDIA-Turing-GPUs,Optimizing SGEMM kernel functions on NVIDIA GPUs to a close-to-cuBLAS performance.,176,34,2021-11-28T18:35:33Z,https://github.com/yzhaiustc/Optimizing-SGEMM-on-NVIDIA-Turing-GPUs
103,NATTEN,Neighborhood Attention Extension. Bringing attention to a neighborhood near you!,171,12,2023-10-08T00:37:20Z,https://github.com/SHI-Labs/NATTEN
104,cuHE,CUDA Homomorphic Encryption Library,171,38,2017-06-08T20:26:33Z,https://github.com/vernamlab/cuHE
105,cuFHE,CUDA-accelerated Fully Homomorphic Encryption Library,171,54,2021-07-07T14:50:29Z,https://github.com/vernamlab/cuFHE
106,cumf_als,CUDA Matrix Factorization Library with Alternating Least Square (ALS),169,49,2018-08-14T02:24:37Z,https://github.com/cuMF/cumf_als
107,MRPNN,A Neural Volumetric Renderer,165,8,2023-07-07T09:32:17Z,https://github.com/What-a-stupid-username/MRPNN
108,ACMP,Planar Prior Assisted PatchMatch Multi-View Stereo,165,29,2022-11-13T03:45:04Z,https://github.com/GhiXu/ACMP
109,Lantern,,164,16,2021-04-20T21:19:38Z,https://github.com/feiwang3311/Lantern
110,CUDA-Winograd,Fast CUDA Kernels for ResNet Inference.,156,47,2019-05-26T02:00:38Z,https://github.com/xuqiantong/CUDA-Winograd
111,CGBN,CGBN:   CUDA Accelerated Multiple Precision Arithmetic (Big Num) using Cooperative Groups,152,46,2023-03-17T18:50:29Z,https://github.com/NVlabs/CGBN
112,Partial-Order-Pruning,Partial Order Pruning: for  Best Speed/Accuracy Trade-off in Neural Architecture Search,148,25,2020-09-23T09:03:00Z,https://github.com/lixincn2015/Partial-Order-Pruning
113,RWKV-CUDA,The CUDA version of the RWKV language model ( https://github.com/BlinkDL/RWKV-LM ),147,28,2023-11-07T07:53:45Z,https://github.com/BlinkDL/RWKV-CUDA
114,CUDA-ScanMatcher-ICP,A high performance CUDA implementation of Scan Matching via the Iterative Closest Point Algorithm,144,22,2022-10-04T14:54:55Z,https://github.com/botforge/CUDA-ScanMatcher-ICP
115,DefTet,Learning Deformable Tetrahedral Meshes for 3D Reconstruction (NeurIPS 2020),144,11,2023-10-23T16:54:15Z,https://github.com/nv-tlabs/DefTet
116,SGEMM_CUDA,Fast CUDA matrix multiplication from scratch,143,16,2023-10-12T07:41:35Z,https://github.com/siboehm/SGEMM_CUDA
117,Professional-CUDA-C-Programming-Code-and-Notes,CUDA C 编程权威指南代码实现 包含了书上第二章到第八章的大部分代码实现和作者笔记，全由作者本人手动实现，难免有错误的地方，请大家谨慎参考，非常欢迎对错误的指正。 如果有帮助的话请Star一下，对作者帮助很大，谢谢！,142,8,2022-10-20T01:41:54Z,https://github.com/Eddie-Wang1120/Professional-CUDA-C-Programming-Code-and-Notes
118,libgdf,[ARCHIVED] C GPU DataFrame Library,139,43,2018-11-06T14:16:46Z,https://github.com/rapidsai/libgdf
119,knn_cuda,Fast K-Nearest Neighbor search with GPU,138,25,2017-09-07T14:39:19Z,https://github.com/chrischoy/knn_cuda
120,ACMM,Multi-Scale Geometric Consistency Guided Multi-View Stereo,136,26,2023-10-16T01:44:28Z,https://github.com/GhiXu/ACMM
121,py-faster-rcnn-windows,py-faster-rcnn that can compile on windows directly,135,70,2016-07-11T10:50:07Z,https://github.com/MrGF/py-faster-rcnn-windows
122,FRNN,Fixed Radius Nearest Neighbor Search on GPU,131,18,2023-03-30T11:18:58Z,https://github.com/lxxue/FRNN
123,lbvh,an implementation of parallel linear BVH (LBVH) on GPU,129,21,2020-06-08T16:11:19Z,https://github.com/ToruNiina/lbvh
124,Waveglow_Inference_in_CUDA,C++ Code to run waveglow inference in cuda ,129,42,2019-09-14T06:29:24Z,https://github.com/Saurabh-29/Waveglow_Inference_in_CUDA
125,cuda_spatial_deform,"A fast tool to do image augmentation on GPU(especially elastic_deform), can be helpful to research on Medical Image.",129,25,2022-11-22T04:32:10Z,https://github.com/qsyao/cuda_spatial_deform
126,PyTorch-EMDLoss,PyTorch 1.0 implementation of the approximate Earth Mover's Distance,128,12,2019-06-05T07:23:12Z,https://github.com/meder411/PyTorch-EMDLoss
127,cuda_by_example,The CMake version of cuda_by_example,128,66,2020-07-24T07:45:30Z,https://github.com/Yannnnnnnnnnnn/cuda_by_example
128,sppark,Zero-knowledge template library,127,39,2023-11-07T13:56:53Z,https://github.com/supranational/sppark
129,modulated-deform-conv,deformable convolution 2D 3D DeformableConvolution DeformConv Modulated Pytorch CUDA,125,16,2021-12-14T09:16:24Z,https://github.com/CHONSPQX/modulated-deform-conv
130,ggnn,GGNN: State of the Art Graph-based GPU Nearest Neighbor Search,125,19,2021-03-16T10:25:38Z,https://github.com/cgtuebingen/ggnn
131,OpenMP-and-PThread_Matrix-Multiplication,Multithreaded matrix multiplication and analysis based on OpenMP and PThread,124,33,2023-11-05T01:55:53Z,https://github.com/zly5/OpenMP-and-PThread_Matrix-Multiplication
132,Orbeez-SLAM,,122,12,2023-10-09T05:15:33Z,https://github.com/MarvinChung/Orbeez-SLAM
133,gpu-topk,Efficient Top-K implementation on the GPU,121,19,2019-04-09T01:24:29Z,https://github.com/anilshanbhag/gpu-topk
134,dynconv,Code for Dynamic Convolutions: Exploiting Spatial Sparsity for Faster Inference (CVPR2020),120,14,2022-01-17T11:57:29Z,https://github.com/thomasverelst/dynconv
135,HRNet-for-Fashion-Landmark-Estimation.PyTorch,[DeepFashion2 Challenge] Fashion Landmark Estimation with HRNet,119,20,2021-12-28T06:54:31Z,https://github.com/svip-lab/HRNet-for-Fashion-Landmark-Estimation.PyTorch
136,GooFit,"Code repository for the massively-parallel framework for maximum-likelihood fits, implemented in CUDA/OpenMP",119,39,2023-11-06T21:00:27Z,https://github.com/GooFit/GooFit
137,di-fusion,[CVPR'21] [Jittor & Pytorch] DI-Fusion: Online Implicit 3D Reconstruction with Deep Priors,118,14,2022-07-12T03:38:34Z,https://github.com/huangjh-pub/di-fusion
138,CUDA-notes,高性能编程 笔记,118,32,2022-05-20T07:42:25Z,https://github.com/littlebearsama/CUDA-notes
139,CudaSteps,基于《cuda编程-基础与实践》（樊哲勇 著）的cuda学习之路。,116,30,2022-03-11T06:56:06Z,https://github.com/QINZHAOYU/CudaSteps
140,Swin3D,A shift-window based transformer for 3D sparse tasks,115,7,2023-06-25T05:12:20Z,https://github.com/microsoft/Swin3D
141,INT8-Flash-Attention-FMHA-Quantization,,115,13,2023-09-15T05:51:13Z,https://github.com/jundaf2/INT8-Flash-Attention-FMHA-Quantization
142,Transformer-CUDA,An implementation of the transformer architecture onto an Nvidia CUDA kernel,115,3,2023-09-24T02:00:04Z,https://github.com/linjames0/Transformer-CUDA
143,dpp,Detail-Preserving Pooling in Deep Networks (CVPR 2018),114,23,2018-11-14T13:19:49Z,https://github.com/visinf/dpp
144,cubvh,CUDA Mesh BVH tools.,114,7,2023-11-07T02:35:37Z,https://github.com/ashawkey/cubvh
145,nvidia-performance-tools,"Instructions, Docker images, and examples for Nsight Compute and Nsight Systems",112,14,2020-05-19T12:52:34Z,https://github.com/cwpearson/nvidia-performance-tools
146,cuda-tutorial,A set of hands-on tutorials for CUDA programming,111,24,2023-07-12T15:42:27Z,https://github.com/puttsk/cuda-tutorial
147,cuSNN,Spiking Neural Networks in C++ with strong GPU acceleration through CUDA ,110,23,2020-07-03T07:15:41Z,https://github.com/tudelft/cuSNN
148,kmeans,kmeans clustering with multi-GPU capabilities,110,34,2023-04-18T15:57:23Z,https://github.com/NVIDIA/kmeans
149,tutorial-multi-gpu,"Efficient Distributed GPU Programming for Exascale, an SC/ISC Tutorial",108,35,2023-10-30T15:19:31Z,https://github.com/FZJ-JSC/tutorial-multi-gpu
150,TokenPose,Implementation for : TokenPose: Learning Keypoint Tokens for Human Pose Estimation （https://arxiv.org/abs/2104.03516）. Accepted by ICCV 2021.,107,21,2021-08-31T04:39:37Z,https://github.com/leeyegy/TokenPose
151,region-conv,Not All Pixels Are Equal: Difficulty-Aware Semantic Segmentation via Deep Layer Cascade,105,15,2018-05-26T16:13:12Z,https://github.com/liuziwei7/region-conv
152,torch_sampling,Efficient reservoir sampling implementation for PyTorch,103,7,2021-09-28T13:41:48Z,https://github.com/LeviViana/torch_sampling
153,matrix-cuda,matrix multiplication in CUDA,102,64,2023-08-10T16:16:28Z,https://github.com/lzhengchun/matrix-cuda
154,halloc,A fast and highly scalable GPU dynamic memory allocator,101,8,2015-03-11T19:37:52Z,https://github.com/canonizer/halloc
155,CUDA,Introduction to CUDA programming,101,23,2017-05-19T11:50:24Z,https://github.com/csc-training/CUDA
156,CubicInterpolationCUDA,GPU accelerated pre-filtered cubic b-spline interpolation using CUDA,101,25,2017-02-27T15:52:51Z,https://github.com/DannyRuijters/CubicInterpolationCUDA
157,GPU-lossless-compression,GPU-Accelerated Lossless Data Compressors Survey,100,9,2020-09-10T04:27:38Z,https://github.com/dingwentao/GPU-lossless-compression
158,cuhnsw,CUDA implementation of Hierarchical Navigable Small World Graph algorithm,99,17,2021-04-19T21:16:11Z,https://github.com/js1010/cuhnsw
159,ADNet,Action-Decision Networks for Visual Tracking with Deep Reinforcement Learning (CVPR 2017),98,40,2019-01-08T02:35:50Z,https://github.com/hellbell/ADNet
160,cuda-kat,CUDA kernel author's tools,97,7,2022-04-24T20:43:56Z,https://github.com/eyalroz/cuda-kat
161,array-language-comparisons,"A comparison of array languages & libraries: APL, J, BQN, Uiua, Q, Julia, R, NumPy, Nial, Futhark, Dex, Ivy, SaC & ArrayFire.",97,8,2023-10-26T14:27:02Z,https://github.com/codereport/array-language-comparisons
162,Fat-Clouds,GPU Fluid Simulation with Volumetric Rendering ,97,9,2018-03-31T17:08:52Z,https://github.com/PWhiddy/Fat-Clouds
163,CUDA-code,,96,7,2023-11-02T08:47:07Z,https://github.com/sangyc10/CUDA-code
164,HungarianGPU,An GPU/CUDA implementation of the Hungarian algorithm,95,17,2019-04-12T16:34:15Z,https://github.com/paclopes/HungarianGPU
165,Titan,A high-performance CUDA-based physics simulation sandbox for soft robotics and reinforcement learning.,93,22,2020-09-18T22:51:57Z,https://github.com/jacobaustin123/Titan
166,NVIDIA_SGEMM_PRACTICE,Step-by-step optimization of CUDA SGEMM,92,21,2022-03-30T23:56:15Z,https://github.com/wangzyon/NVIDIA_SGEMM_PRACTICE
167,pytorch-edit-distance,Levenshtein edit-distance on PyTorch and CUDA,91,14,2023-01-24T21:06:51Z,https://github.com/1ytic/pytorch-edit-distance
168,Product-Quantization-Tree,"GPU-based large scale Approx. Nearest Neighbor Search, accepted at CVPR 2016",91,26,2018-11-03T08:47:15Z,https://github.com/cgtuebingen/Product-Quantization-Tree
169,nnabla-ext-cuda,A CUDA Extension of Neural Network Libraries,89,34,2023-11-06T05:49:31Z,https://github.com/sony/nnabla-ext-cuda
170,Weighted_Softmax_Loss,Weighted Softmax Loss Layer for Caffe,89,47,2018-08-31T03:18:16Z,https://github.com/shicai/Weighted_Softmax_Loss
171,CUDA_by_practice,CUDA by practice,89,36,2020-01-07T03:56:35Z,https://github.com/eegkno/CUDA_by_practice
172,tensorrt_scatter,TensorRT Plugin of corresponding PyTorch Scatter operators.,88,17,2023-05-03T08:55:18Z,https://github.com/wy17646051/tensorrt_scatter
173,flash-llm,Flash-LLM: Enabling Cost-Effective and Highly-Efficient Large Generative Model Inference with Unstructured Sparsity,88,10,2023-09-24T03:44:55Z,https://github.com/AlibabaResearch/flash-llm
174,cuda_hgemm,Several optimization methods of half-precision general matrix multiplication (HGEMM) using tensor core with WMMA API and MMA PTX instruction. ,87,21,2023-11-07T00:35:24Z,https://github.com/Bruce-Lee-LY/cuda_hgemm
175,tensorrt-zoo,"openpose, yolov3 with tiny-tensorrt",86,26,2021-04-23T10:31:21Z,https://github.com/zerollzeng/tensorrt-zoo
176,2016_super_resolution,ICCV2015 Image Super-Resolution Using Deep Convolutional Networks,86,43,2019-04-01T08:23:30Z,https://github.com/layumi/2016_super_resolution
